Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
Brauwerk North German Pilsner,3.6,1,473,5.1,Can,Lager,0.149,3.6,473,24.123
Broadhead Brewing Pilsner,3.45,1,473,5.3,Can,Lager,0.138,3.45,473,25.069
Beyond the Pale Evening Edition,3.75,1,473,3.8,Can,Lager,0.209,3.75,473,17.974
Bancroft Brewing Sawmill Lager,3.5,1,473,4.5,Can,Lager,0.164,3.5,473,21.285
Rolling Rock,43.5,24,341,4.5,Bottle,Lager,0.118,1.812,8184,368.28
Blackburn Local Light Lager,2.75,1,473,3.9,Can,Lager,0.149,2.75,473,18.447
Wavemaker Craft Brewery Lagerbier,3.85,1,473,5.4,Can,Lager,0.151,3.85,473,25.542
Storm Stayed Brewing Cove,2.95,1,355,5.2,Can,Lager,0.16,2.95,355,18.46
Wasaga Beach One Cerveza,3.15,1,473,4.5,Can,Lager,0.148,3.15,473,21.285
Steam Whistle Pilsner,32.45,12,355,5.0,Can,Lager,0.152,2.704,4260,213.0
Stella Artois,57.95,24,355,5.0,Can,Lager,0.136,2.415,8520,426.0
Sleeman Original Lager,49.95,24,355,5.0,Can,Lager,0.117,2.081,8520,426.0
Sleeman Clear 2.0,27.95,12,341,4.0,Bottle,Lager,0.171,2.329,4092,163.68
Michelob Ultra,49.5,24,341,4.0,Bottle,Lager,0.151,2.062,8184,327.36
Pabst Blue Ribbon,36.95,20,355,4.9,Can,Lager,0.106,1.848,7100,347.9
Moosehead Cracked Canoe,48.5,24,341,3.5,Bottle,Lager,0.169,2.021,8184,286.44
Miller Lite,33.95,15,355,4.0,Can,Lager,0.159,2.263,5325,213.0
Miller Genuine Draft,46.95,24,355,4.7,Can,Lager,0.117,1.956,8520,400.44
Lake of the Woods Lago Lager,25.95,12,355,4.5,Can,Lager,0.135,2.162,4260,191.7
Heineken,31.95,12,330,5.0,Can,Lager,0.161,2.662,3960,198.0
Coors Original,45.95,24,341,5.0,Bottle,Lager,0.112,1.915,8184,409.2
Carling Old Vienna,30.95,15,355,5.0,Can,Lager,0.116,2.063,5325,266.25
Carling Old Vienna,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Carlsberg Danish Pilsner Snap Pack,14.1,6,330,5.0,Can,Lager,0.142,2.35,1980,99.0
Carling Lager,55.95,30,355,4.9,Can,Lager,0.107,1.865,10650,521.85
Busch,43.95,24,341,4.7,Bottle,Lager,0.114,1.831,8184,384.648
Budweiser,27.95,12,341,5.0,Bottle,Lager,0.137,2.329,4092,204.6
Bud Light,49.95,24,355,4.0,Can,Lager,0.147,2.081,8520,340.8
Budweiser,49.95,28,341,5.0,Bottle,Lager,0.105,1.784,9548,477.4
Bancroft Brewing Rusty Husky,3.5,1,473,5.6,Can,Lager,0.132,3.5,473,26.488
Stratford Pilsner,2.95,1,473,4.9,Can,Lager,0.127,2.95,473,23.177
THE GLORIOUS SONS X FARM LEAGUE BREWING- TGS LAGER,3.85,1,473,4.7,Can,Lager,0.173,3.85,473,22.231
Sleeman Original Lager,27.95,12,341,5.0,Bottle,Lager,0.137,2.329,4092,204.6
Corona Extra,14.25,6,330,4.6,Bottle,Lager,0.156,2.375,1980,91.08
Sleeman Honey Brown Lager,29.5,12,341,5.2,Bottle,Lager,0.139,2.458,4092,212.784
Stella Artois,54.95,24,330,5.0,Bottle,Lager,0.139,2.29,7920,396.0
MVP Brewing Company Premium Lager,3.25,1,473,4.5,Can,Lager,0.153,3.25,473,21.285
Miller High Life,30.95,15,355,4.6,Can,Lager,0.126,2.063,5325,244.95
Molson Ultra,28.5,12,355,3.0,Can,Lager,0.223,2.375,4260,127.8
Miller High Life,43.75,24,355,4.6,Bottle,Lager,0.112,1.823,8520,391.92
Cool Beer Blonde Lager,7.5,4,341,5.0,Bottle,Lager,0.11,1.875,1364,68.2
Lakeport Light,43.95,24,341,4.0,Bottle,Lager,0.134,1.831,8184,327.36
Get the Puck Out Pilsner,3.35,1,473,4.8,Can,Lager,0.148,3.35,473,22.704
Cracked Canoe,49.95,24,355,3.5,Can,Lager,0.168,2.081,8520,298.2
Corona Extra,52.95,24,355,4.6,Can,Lager,0.135,2.206,8520,391.92
Carib Lager,14.95,6,330,5.2,Bottle,Lager,0.145,2.492,1980,102.96
Busch Light,43.95,24,341,4.0,Bottle,Lager,0.134,1.831,8184,327.36
Mythos Hellenic Lager,11.55,4,500,5.0,Can,Lager,0.116,2.888,2000,100.0
Muskoka Brewery Stein Sized Fest Bier,3.95,1,568,5.5,Can,Lager,0.126,3.95,568,31.24
Omnipollo Prize Pils,3.95,1,473,4.8,Can,Lager,0.174,3.95,473,22.704
Sapporo Black Lager,12.95,4,473,5.0,Can,Lager,0.137,3.238,1892,94.6
Michelob Ultra Organic Gold,20.95,6,473,3.8,Can,Lager,0.194,3.492,2838,107.844
Laker Ice,40.95,24,355,5.5,Can,Lager,0.087,1.706,8520,468.6
Lucky Lager,43.95,24,341,4.8,Bottle,Lager,0.112,1.831,8184,392.832
Tuborg Gold,2.75,1,500,5.5,Can,Lager,0.1,2.75,500,27.5
Ace Hill Ultra Lime,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Amsterdam Fria Cerveza,3.25,1,473,4.6,Can,Lager,0.149,3.25,473,21.758
Grolsch Premium Pilsner,2.95,1,500,5.0,Can,Lager,0.118,2.95,500,25.0
Lezajsk Beer,3.1,1,500,5.5,Bottle,Lager,0.113,3.1,500,27.5
Guinness Hop House 13,2.95,1,500,5.0,Can,Lager,0.118,2.95,500,25.0
Anderson Craft Ales - Autumn,15.45,6,355,5.5,Can,Lager,0.132,2.575,2130,117.15
Zywiec Beer,2.95,1,500,5.5,Can,Lager,0.107,2.95,500,27.5
Toboggan Brewing Holy Roller Lager,3.35,1,473,4.7,Can,Lager,0.151,3.35,473,22.231
Stockyards Brewing Reunion Mexican Lager,3.25,1,473,4.0,Can,Lager,0.172,3.25,473,18.92
Wellington Brewery Boot Lite Lager,3.35,1,473,3.3,Can,Lager,0.215,3.35,473,15.609
Brew Aid,3.35,1,473,4.5,Can,Lager,0.157,3.35,473,21.285
Steam Whistle Playmate Igloo Cooler Gift Pack,39.95,6,355,5.0,Can,Lager,0.375,6.658,2130,106.5
Sleeman Clear 2.0,49.95,24,355,4.0,Can,Lager,0.147,2.081,8520,340.8
Silversmith Brewing The Black Lager,3.75,1,473,5.0,Can,Lager,0.159,3.75,473,23.65
Super Bock,14.5,6,330,5.8,Bottle,Lager,0.126,2.417,1980,114.84
Rolling Rock,17.95,6,473,4.5,Can,Lager,0.141,2.992,2838,127.71
Perth Brewery Last Duel Lager,3.45,1,473,4.5,Can,Lager,0.162,3.45,473,21.285
Rally Beer Company Base Layer Lager,9.95,4,355,4.0,Can,Lager,0.175,2.488,1420,56.8
Singha,2.95,1,490,5.0,Can,Lager,0.12,2.95,490,24.5
Peroni Nastro Azzurro Slim Can,16.95,6,330,5.1,Can,Lager,0.168,2.825,1980,100.98
Triple Bogey Light,2.95,1,473,3.9,Can,Lager,0.16,2.95,473,18.447
Old Style Pilsner,12.6,6,473,5.0,Can,Lager,0.089,2.1,2838,141.9
Nickel Brook Lager,2.85,1,473,4.3,Can,Lager,0.14,2.85,473,20.339
Old Milwaukee,45.5,24,355,5.0,Can,Lager,0.107,1.896,8520,426.0
Molson Canadian,31.5,12,473,5.0,Can,Lager,0.111,2.625,5676,283.8
Martens Gold,2.8,1,500,4.6,Can,Lager,0.122,2.8,500,23.0
Triple Bogey Lager,2.95,1,473,4.9,Can,Lager,0.127,2.95,473,23.177
Steam Whistle Pilsner 5 L Keg,35.95,1,5000,5.0,Can,Lager,0.144,35.95,5000,250.0
Sons of Kent El Camino 6 Pack,19.95,6,473,4.0,Can,Lager,0.176,3.325,2838,113.52
Michelob Ultra 24x355ml,53.5,24,355,4.0,Can,Lager,0.157,2.229,8520,340.8
London Brewing Organic Pilsner,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Storyteller Lager,3.1,1,473,5.0,Can,Lager,0.131,3.1,473,23.65
Sons of Kent Brewing Festbier Oktoberfest,3.65,1,473,5.5,Can,Lager,0.14,3.65,473,26.015
Sleeman Clear 2.0,45.95,24,341,4.0,Bottle,Lager,0.14,1.915,8184,327.36
Sleeman Clear 2.0,14.75,6,341,4.0,Bottle,Lager,0.18,2.458,2046,81.84
Original Local Lager,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Kaiser Beer,2.7,1,500,5.0,Can,Lager,0.108,2.7,500,25.0
Miller Lite,55.95,30,355,4.0,Can,Lager,0.131,1.865,10650,426.0
La Cerveceria Astilleros Salted Lime Lager,3.55,1,473,4.5,Can,Lager,0.167,3.55,473,21.285
Labatt Blue,3.6,1,740,5.0,Can,Lager,0.097,3.6,740,37.0
Muddy York Gaslight Helles,3.75,1,473,5.4,Can,Lager,0.147,3.75,473,25.542
Riverhead Cerveza Mexican Lager,3.45,1,473,4.5,Can,Lager,0.162,3.45,473,21.285
Labatt Blue,25.45,12,473,5.0,Can,Lager,0.09,2.121,5676,283.8
Junction Craft Pilsner,3.35,1,473,4.6,Can,Lager,0.154,3.35,473,21.758
Lowenbrau Original,12.6,6,473,5.2,Can,Lager,0.085,2.1,2838,147.576
Radeberger Pilsner,18.7,6,500,4.8,Can,Lager,0.13,3.117,3000,144.0
Labatt Blue,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Innis & Gunn Lager Beer,2.65,1,473,4.6,Can,Lager,0.122,2.65,473,21.758
Lake of the Woods Channel Marker Light Lager,3.75,1,473,4.0,Can,Lager,0.198,3.75,473,18.92
Muskoka Brewery Craft Lager,19.95,6,473,4.8,Can,Lager,0.146,3.325,2838,136.224
Imperial City Brew House Cerveza Mexican Lager,3.25,1,473,4.5,Can,Lager,0.153,3.25,473,21.285
Sleeman Original Lager,32.5,15,355,5.0,Can,Lager,0.122,2.167,5325,266.25
Glory Days Premium Lager,3.1,1,473,5.0,Can,Lager,0.131,3.1,473,23.65
MacKinnon Brothers Philomena Pilsner,3.5,1,473,4.1,Can,Lager,0.18,3.5,473,19.393
Coors Light,45.95,24,341,4.0,Bottle,Lager,0.14,1.915,8184,327.36
Labatt Maximum Ice,3.0,1,473,7.1,Can,Lager,0.089,3.0,473,33.583
Junction Krispy Light Lager,3.15,1,473,3.9,Can,Lager,0.171,3.15,473,18.447
Coors Original,59.95,30,355,5.0,Can,Lager,0.113,1.998,10650,532.5
Heineken,5.65,1,710,5.0,Can,Lager,0.159,5.65,710,35.5
Karlovacko Beer,2.9,1,500,5.0,Can,Lager,0.116,2.9,500,25.0
Busch,31.0,15,355,4.7,Can,Lager,0.124,2.067,5325,250.275
Busch Lager,52.95,30,355,4.7,Can,Lager,0.106,1.765,10650,500.55
Gosser Beer,2.8,1,500,5.2,Can,Lager,0.108,2.8,500,26.0
Ace Hill Ultra,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Carib Premium Lager,14.95,6,330,5.0,Bottle,Lager,0.151,2.492,1980,99.0
Cameron's Captain's Log Lager,3.25,1,473,5.0,Can,Lager,0.137,3.25,473,23.65
Aecht Schlenkerla Rauchbier,4.9,1,500,5.1,Bottle,Lager,0.192,4.9,500,25.5
Heineken,32.5,12,330,5.0,Bottle,Lager,0.164,2.708,3960,198.0
Brava Premium Lager,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Czechvar Dark Lager,3.1,1,500,4.7,Can,Lager,0.132,3.1,500,23.5
Coors Light,55.95,30,355,4.0,Can,Lager,0.131,1.865,10650,426.0
Berliner Pilsner,2.8,1,500,5.0,Can,Lager,0.112,2.8,500,25.0
Budweiser,31.5,12,473,5.0,Can,Lager,0.111,2.625,5676,283.8
Bitburger Premium Pilsner,3.0,1,500,5.0,Can,Lager,0.12,3.0,500,25.0
Corona,57.95,24,330,4.6,Bottle,Lager,0.159,2.415,7920,364.32
4est Brewery 4est Lager,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Bench Brewing Lincoln Lager,3.5,1,473,4.4,Can,Lager,0.168,3.5,473,20.812
Ace Hill Pilsner,3.55,1,473,4.9,Can,Lager,0.153,3.55,473,23.177
Amsterdam Blonde Lager,3.4,1,568,5.0,Can,Lager,0.12,3.4,568,28.4
Erdinger Pikantus,4.25,1,500,7.3,Bottle,Lager,0.116,4.25,500,36.5
Doppel Hirsch Doppel Bock,4.6,1,500,7.2,Can,Lager,0.128,4.6,500,36.0
Boshkung Brewery Two Putt Pilsner,3.6,1,473,4.7,Can,Lager,0.162,3.6,473,22.231
Kronenbourg 1664,15.9,6,330,4.7,Bottle,Lager,0.171,2.65,1980,93.06
Faxe 10% Extra Strong,4.25,1,500,10.0,Can,Lager,0.085,4.25,500,50.0
Wernesgruner Pilsner,3.0,1,500,4.9,Can,Lager,0.122,3.0,500,24.5
Trestle Brewing Co. Arrow Pilsner,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Stonewall Light,7.8,4,355,4.0,Can,Lager,0.137,1.95,1420,56.8
Lakeport Light,45.5,24,355,4.0,Can,Lager,0.134,1.896,8520,340.8
Innis & Gunn Lager,2.95,1,500,4.6,Can,Lager,0.128,2.95,500,23.0
Sleeman Original Lager,14.75,6,341,5.0,Bottle,Lager,0.144,2.458,2046,102.3
Railway City Playa Cerveza,3.25,1,473,4.5,Can,Lager,0.153,3.25,473,21.285
Moosehead Lager,46.5,24,341,5.0,Bottle,Lager,0.114,1.938,8184,409.2
Molson Canadian,32.5,15,355,5.0,Can,Lager,0.122,2.167,5325,266.25
Moosehead Lager,49.95,24,355,5.0,Can,Lager,0.117,2.081,8520,426.0
Moosehead Lager,33.95,15,355,5.0,Can,Lager,0.128,2.263,5325,266.25
Muskoka Craft Lager,31.95,12,355,4.8,Can,Lager,0.156,2.662,4260,204.48
Kokanee,14.5,6,355,5.2,Can,Lager,0.131,2.417,2130,110.76
MacKinnon Philly Light Lager,2.75,1,355,3.8,Can,Lager,0.204,2.75,355,13.49
Labatt Blue,31.0,15,355,5.0,Can,Lager,0.116,2.067,5325,266.25
Hofbrau Dunkel,3.95,1,500,5.5,Bottle,Lager,0.144,3.95,500,27.5
London Brewing Organic Lager,3.35,1,473,4.7,Can,Lager,0.151,3.35,473,22.231
Labatt Blue,49.95,30,355,5.0,Can,Lager,0.094,1.665,10650,532.5
Labatt Blue Light,45.5,24,355,4.0,Can,Lager,0.134,1.896,8520,340.8
Labatt Blue Light,43.95,24,341,4.0,Bottle,Lager,0.134,1.831,8184,327.36
Holman Brewing Bear Naked Lager,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Haliburton Forest Amber Logger,3.6,1,473,4.2,Can,Lager,0.181,3.6,473,19.866
Cool Beer Blonde Lager,7.6,4,355,5.0,Can,Lager,0.107,1.9,1420,71.0
Holsten Premium Pilsner,2.6,1,500,5.0,Can,Lager,0.104,2.6,500,25.0
Caledon Hills Bohemian Pils,3.4,1,473,4.2,Can,Lager,0.171,3.4,473,19.866
Corona Extra,4.85,1,710,4.6,Bottle,Lager,0.148,4.85,710,32.66
Busch Ice,55.95,30,355,6.0,Can,Lager,0.088,1.865,10650,639.0
Budweiser,32.5,15,355,5.0,Can,Lager,0.122,2.167,5325,266.25
Buzz Hemp Beer,8.0,4,355,5.0,Can,Lager,0.113,2.0,1420,71.0
Bud Light,32.5,15,341,4.0,Bottle,Lager,0.159,2.167,5115,204.6
Anderson Craft Ales Czech Pilsner,15.45,6,355,4.6,Can,Lager,0.158,2.575,2130,97.98
Ace Hill Vienna Lager,3.55,1,473,5.0,Can,Lager,0.15,3.55,473,23.65
Faxe Premium Lager,2.7,1,500,5.0,Can,Lager,0.108,2.7,500,25.0
Saulter Street Brewery Riverside Pilsner,3.5,1,473,4.7,Can,Lager,0.157,3.5,473,22.231
Labatt Blue,12.95,6,341,5.0,Bottle,Lager,0.127,2.158,2046,102.3
Holsten Maibock,2.95,1,500,7.0,Can,Lager,0.084,2.95,500,35.0
Lakeport Honey Lager,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Block Three Brewing Hollinger Helles,3.5,1,473,4.5,Can,Lager,0.164,3.5,473,21.285
Steam Whistle Premium Pilsner,17.95,6,355,5.0,Can,Lager,0.169,2.992,2130,106.5
Sleeman Original Lager,45.95,24,341,5.0,Bottle,Lager,0.112,1.915,8184,409.2
Muskoka Brewery Tread Lightly,45.95,24,355,4.0,Can,Lager,0.135,1.915,8520,340.8
Side Launch Light Lager,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Molson Canadian,49.95,24,355,5.0,Can,Lager,0.117,2.081,8520,426.0
Sam Adams Wicked Easy,3.35,1,473,4.7,Can,Lager,0.151,3.35,473,22.231
Mill Street Organic Lager,30.95,12,355,4.2,Can,Lager,0.173,2.579,4260,178.92
Holsten Festbock,2.95,1,500,7.0,Can,Lager,0.084,2.95,500,35.0
Laker Premium Lager,39.5,24,341,5.0,Bottle,Lager,0.097,1.646,8184,409.2
Laker Lager,40.95,24,355,5.0,Can,Lager,0.096,1.706,8520,426.0
Last Spike Brewery Bronc Beer,2.95,1,473,5.0,Can,Lager,0.125,2.95,473,23.65
Miller Genuine Draught,32.95,12,473,4.7,Can,Lager,0.124,2.746,5676,266.772
Labatt Blue,45.5,24,355,5.0,Can,Lager,0.107,1.896,8520,426.0
James Ready 5.5,54.95,30,355,5.5,Can,Lager,0.094,1.832,10650,585.75
Lakeport Pilsener,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Banks Caribbean Lager,13.05,6,330,4.7,Bottle,Lager,0.14,2.175,1980,93.06
Muskoka Tread Lightly,27.95,12,355,4.0,Can,Lager,0.164,2.329,4260,170.4
Laker Light,39.5,24,341,4.0,Bottle,Lager,0.121,1.646,8184,327.36
Lakeport Pilsener,45.5,24,355,5.0,Can,Lager,0.107,1.896,8520,426.0
Labatt Blue,30.5,15,341,5.0,Bottle,Lager,0.119,2.033,5115,255.75
Eggenberg Brewery's Samichlaus,6.25,1,330,14.0,Bottle,Lager,0.135,6.25,330,46.2
Laker Ice,39.5,24,341,5.5,Bottle,Lager,0.088,1.646,8184,450.12
Coors Original,52.95,24,355,5.0,Can,Lager,0.124,2.206,8520,426.0
Coors Light,45.95,28,341,4.0,Bottle,Lager,0.12,1.641,9548,381.92
Carling Lager,45.5,24,355,4.9,Can,Lager,0.109,1.896,8520,417.48
Grolsch Premium Pilsner,17.35,4,450,5.0,Bottle,Lager,0.193,4.338,1800,90.0
Carling,43.95,24,341,4.9,Bottle,Lager,0.11,1.831,8184,401.016
Bud Light,27.95,12,341,4.0,Bottle,Lager,0.171,2.329,4092,163.68
Budweiser,45.95,24,341,5.0,Bottle,Lager,0.112,1.915,8184,409.2
Budweiser,32.5,15,341,5.0,Bottle,Lager,0.127,2.167,5115,255.75
Stella Artois,31.95,12,355,5.0,Can,Lager,0.15,2.662,4260,213.0
Old Milwaukee,43.95,24,341,4.6,Bottle,Lager,0.117,1.831,8184,376.464
Railway City Merry & Bright Cranberry Lager,3.45,1,473,5.5,Can,Lager,0.133,3.45,473,26.015
Lock Street Brewery Port Side Pilsner,3.75,1,473,5.0,Can,Lager,0.159,3.75,473,23.65
Molson Ultra,47.95,24,341,3.0,Bottle,Lager,0.195,1.998,8184,245.52
Molson Canadian,45.95,28,341,5.0,Bottle,Lager,0.096,1.641,9548,477.4
Schneider Aventinus Eisbock,4.35,1,330,11.9,Bottle,Lager,0.111,4.35,330,39.27
Keo Beer,2.95,1,330,4.5,Bottle,Lager,0.199,2.95,330,14.85
Mill Street Big Little Lager,28.5,12,355,3.5,Can,Lager,0.191,2.375,4260,149.1
Red Thread Brewing Make Tracks Craft Lager,3.25,1,473,5.0,Can,Lager,0.137,3.25,473,23.65
Miller Lite,44.95,24,341,4.0,Bottle,Lager,0.137,1.873,8184,327.36
Labatt Blue,24.5,12,341,5.0,Bottle,Lager,0.12,2.042,4092,204.6
Laker Ice,25.95,12,473,5.5,Can,Lager,0.083,2.162,5676,312.18
Labatt Crystal,43.95,24,341,5.0,Bottle,Lager,0.107,1.831,8184,409.2
Creemore Springs Urbock,3.75,1,473,6.0,Can,Lager,0.132,3.75,473,28.38
Collective Arts Audio Visual Lager,3.35,1,473,4.8,Can,Lager,0.148,3.35,473,22.704
Cowbell Brewing Co. Shindig Lager,30.95,12,355,4.2,Can,Lager,0.173,2.579,4260,178.92
Steam Whistle Pilsner,57.25,24,341,5.0,Bottle,Lager,0.14,2.385,8184,409.2
Carling Light,45.5,24,355,4.0,Can,Lager,0.134,1.896,8520,340.8
Carling Light,43.95,24,341,4.0,Bottle,Lager,0.134,1.831,8184,327.36
Carling Light,55.95,30,355,4.0,Can,Lager,0.131,1.865,10650,426.0
Stockyards Brewing Festbier,3.4,1,473,5.5,Can,Lager,0.131,3.4,473,26.015
Pabst Blue Ribbon Light,39.95,24,341,4.0,Bottle,Lager,0.122,1.665,8184,327.36
Northern Superior Lager,15.0,6,355,5.0,Can,Lager,0.141,2.5,2130,106.5
Caledon Hills Deadly Dark Lager,3.45,1,473,5.2,Can,Lager,0.14,3.45,473,24.596
Fix Hellas Premium Lager,11.95,4,500,5.0,Can,Lager,0.12,2.988,2000,100.0
Mythos Hellenic Lager,15.95,6,330,5.0,Bottle,Lager,0.161,2.658,1980,99.0
Creemore Oktoberfest,3.95,1,473,5.5,Can,Lager,0.152,3.95,473,26.015
Hofbrau Oktoberfestbier,4.2,1,500,6.3,Bottle,Lager,0.133,4.2,500,31.5
Busch,24.5,12,341,4.7,Bottle,Lager,0.127,2.042,4092,192.324
Busch Light,10.75,6,355,4.0,Can,Lager,0.126,1.792,2130,85.2
Dagger Brew Corp,9.5,4,533,4.0,Can,Lager,0.111,2.375,2132,85.28
Barley Days Loyalist Lager,2.95,1,473,4.5,Can,Lager,0.139,2.95,473,21.285
Fenelon Falls Brewing Co. Vienna Lager,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Paulaner Oktoberfest 'Wiesn' Bier,4.0,1,500,6.0,Can,Lager,0.133,4.0,500,30.0
Horseshoe Valley Brewing Company Cold Water Clear Lager,3.0,1,473,4.0,Can,Lager,0.159,3.0,473,18.92
Moosehead Light,52.95,24,355,4.0,Can,Lager,0.155,2.206,8520,340.8
Keystone Light,53.95,30,355,4.0,Can,Lager,0.127,1.798,10650,426.0
Laker Light,43.95,24,355,4.0,Can,Lager,0.129,1.831,8520,340.8
Labatt Blue Light,29.5,15,341,4.0,Bottle,Lager,0.144,1.967,5115,204.6
All or Nothing Brewhouse Pushin the Limits India Pale Lager,3.3,1,473,4.9,Can,Lager,0.142,3.3,473,23.177
Kokanee,45.95,24,341,5.2,Bottle,Lager,0.108,1.915,8184,425.568
No Name Beer,8.55,6,341,5.0,Bottle,Lager,0.084,1.425,2046,102.3
Guinness Draught,26.4,8,440,4.2,Can,Ale,0.179,3.3,3520,147.84
Guinness Draught,13.4,4,440,4.2,Can,Ale,0.181,3.35,1760,73.92
Collective Arts Life in the Clouds,3.85,1,473,6.1,Can,Ale,0.133,3.85,473,28.853
Dragon Stout,15.95,6,284,7.5,Bottle,Ale,0.125,2.658,1704,127.8
Collective Arts Ransack The Universe IPA,3.85,1,473,6.8,Can,Ale,0.12,3.85,473,32.164
Whitewater Brewing North Meets South Nordic Pale Ale,3.65,1,473,4.6,Can,Ale,0.168,3.65,473,21.758
Wellington Brewery Upside IPA,3.85,1,473,6.8,Can,Ale,0.12,3.85,473,32.164
Whitewater Brewing Co. High Tide,3.85,1,473,6.0,Can,Ale,0.136,3.85,473,28.38
Waterloo IPA,3.25,1,473,5.2,Can,Ale,0.132,3.25,473,24.596
Town Brewery Square Wheels Hazy IPA,4.25,1,473,6.2,Can,Ale,0.145,4.25,473,29.326
Woodhouse Nordic Pale Ale,3.5,1,473,5.2,Can,Ale,0.142,3.5,473,24.596
Woodhouse IPA,3.5,1,473,6.0,Can,Ale,0.123,3.5,473,28.38
Town Brewery Outside Jokes,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Whitewater Brewing Co. Blood Moon Orange Sour,3.85,1,473,4.8,Can,Ale,0.17,3.85,473,22.704
Sweetwater Ipa,3.8,1,473,6.3,Can,Ale,0.128,3.8,473,29.799
Wellington Brewery Snake Eyes Dry Hopped Peach Sour,4.15,1,473,5.2,Can,Ale,0.169,4.15,473,24.596
Wellington Brewery Special Pale Ale,3.65,1,473,4.5,Can,Ale,0.171,3.65,473,21.285
Side Launch Anyday Session IPA,3.5,1,473,4.0,Can,Ale,0.185,3.5,473,18.92
Tobermory Brewing Bruce Trail Blonde Ale,3.45,1,473,5.2,Can,Ale,0.14,3.45,473,24.596
Tobermory Brewing Co. FireBan Amber Ale,3.45,1,473,4.9,Can,Ale,0.149,3.45,473,23.177
Wellington Brewery Lazy Tiger Little IPA,3.75,1,473,3.6,Can,Ale,0.22,3.75,473,17.028
Rickard's Red,3.25,1,473,5.2,Can,Ale,0.132,3.25,473,24.596
Troubadour - Magma,4.85,1,330,9.0,Bottle,Ale,0.163,4.85,330,29.7
Sons of Kent Brewing 8 Track XPA,3.65,1,473,5.7,Can,Ale,0.135,3.65,473,26.961
St-Ambroise Apricot Wheat Ale,3.2,1,473,5.0,Can,Ale,0.135,3.2,473,23.65
Superflux Colour & Shape IPA,4.95,1,473,6.5,Can,Ale,0.161,4.95,473,30.745
Rally Trail Blazer Session Ale,9.95,4,355,4.9,Can,Ale,0.143,2.488,1420,69.58
Smithwick's Ale,3.35,1,500,5.0,Can,Ale,0.134,3.35,500,25.0
Schneider Aventinus,4.25,1,500,8.2,Can,Ale,0.104,4.25,500,41.0
Sawdust City Jalapeno Lime Kettle Sour,3.95,1,473,3.5,Can,Ale,0.239,3.95,473,16.555
"Refined Fool Catstronaut, Session Hazy IPA",3.95,1,473,4.5,Can,Ale,0.186,3.95,473,21.285
Sons of Kent Drift,3.85,1,473,6.0,Can,Ale,0.136,3.85,473,28.38
"Refined Fool Van Full of Weirdos, Juicy IPA",3.75,1,473,6.2,Can,Ale,0.128,3.75,473,29.326
Refined Fool Florida Stole My Parents OJ IPA,4.5,1,473,6.5,Can,Ale,0.146,4.5,473,30.745
Side Launch Hibiscus Sour,3.85,1,473,4.2,Can,Ale,0.194,3.85,473,19.866
Rochefort 10,5.35,1,330,11.3,Bottle,Ale,0.143,5.35,330,37.29
Railway City Dead Elephant IPA,3.65,1,473,6.8,Can,Ale,0.113,3.65,473,32.164
Side Launch Passionate Sour,3.95,1,473,4.3,Can,Ale,0.194,3.95,473,20.339
Sleeman Clear 2.0 Lime,3.2,1,473,4.0,Can,Ale,0.169,3.2,473,18.92
Side Launch Wheat Beer,3.65,1,473,5.3,Can,Ale,0.146,3.65,473,25.069
Rainhard Brewing Armed N' Citra Dry Hopped Pale Ale,3.85,1,473,5.2,Can,Ale,0.157,3.85,473,24.596
Manitoulin Brewing Cup & Saucer,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Palm Breweries Rodenbach Grand Cru,3.9,1,330,6.0,Bottle,Ale,0.197,3.9,330,19.8
Rochefort 8,5.1,1,330,9.2,Bottle,Ale,0.168,5.1,330,30.36
Old Flame Vienna Lager Red,3.5,1,473,5.1,Can,Ale,0.145,3.5,473,24.123
Nickel Brook Naughty Neighbour American Pale Ale,3.55,1,473,4.9,Can,Ale,0.153,3.55,473,23.177
Nickel Brook Jam Stand Raspberry with Vanilla & Hibiscus,3.95,1,473,4.0,Can,Ale,0.209,3.95,473,18.92
Nickel Brook Head Stock West Coast-Style IPA,3.75,1,473,7.0,Can,Ale,0.113,3.75,473,33.11
